"reference","base_summary","finetuned_summary","original_text"
"New Espresso Drinker","I bought this coffee when I purchased Bialetti Moka Express L'Original 12 Cup Espresso Maker. Up until now, I've had","The best coffee I've ever had","I purchased this brand of coffee when I purchased Bialetti Moka Express L'Original 12 Cup Espresso Maker. Up until now, I've had no experience with either. Normally, I'm the type of person to find one brand of coffee and stick with it. When the price of my current brand of coffee shot up, I started looking around for something else.<br /><br />What caught my eye was the Arabica/Indian/Robusta blend. It sounded so exotic. Plus, the chocolaty flavor in the description. I've never been one for dark coffee, but if it had a chocolaty undertone, I was in. Besides, the onetime cost of $20.13 for a pack of four (as of 07/23/2011) was reasonable.<br /><br />My cup of coffee is mixed with equal parts of cream, but my husband only uses a little. Both of us agree this is a smooth cup of coffee with no bitter taste. We love it so much that I've signed up for the subscribe and save plan. Now it's only $17.11 for a pack of four. Again, this is as of 07/23/2011."
"A Welcome Change","This is a light, tangy tea with a hint of licorice.","Sweet and tangy","I wasn't sure about this tea at first because I had tried several other teas that contained licorice that were just too sweet for me. However, I'm pleasantly surprized by the light, tangy flavor of this tea. The sweetness is there, but it's not overwhelming. I'm not certain that it's done much for me in relation to ""detox,"" but I certainly like the taste, especially after lunch. It seems to settle my stomach and help me digest."
"Best dog treat ever","My dogs love these treats.","My dogs love these treats!","Finding these treats was a complete fluke. When on vacation in Hollywood, FL we stopped in a gourmet pet store. There was a cute yorkie that we were petting and we told the owner we had Chihuahuas. He was buying Zukes and absolutely raved about the treats. He recommended the chicken but we purchased the peanut butter treat. We keep the treats in the fridge. My dogs LOVE these treats. If we open the fridge they are right there. The size is perfect for training. I can't say enough great things about the product, healthy and it makes my dogs happy."
"oddly delightful","The extra dessert delights sugarfree mint chocolate chip gum is a remarkable creation. the flavor has a distinct chocloate/mint chip","The extra dessert delights sugarfree mint chocolate chip gum is a remarkable creation","the extra dessert delights sugarfree mint chocolate chip gum is a remarkable creation.  the flavor has a distinct chocloate/mint chip flavor--minty with a hint of chocolate.  it is so weird, but it's fun.  the reason i did not give it five stars was because it really made me want to go out and get ice cream.  rather than take the place of a treat, it caused a craving.  not what i am looking for in a gum.  but if you like chocolate mint chip ice cream or the combination of the two flavors together, this is something to try."
"Red Star Baking Yeast Good product at a great price","You can't beat the price,1 pounds for $7.95 sure beats $8.99 for a 4 ounce jar at the supermarket","Red Star is the best yeast out there, but not always available at my supermarket","My daughter-in-law gave me a 1 pound bag of Red Star yeast last Christmas and it has lasted me 4 months, baking a loaf of bread almost everyday. I take a small amount and put it in one of my old 4 ounce yeast jars and freeze the rest and it has kept very well. In my opinion Red Star is the best yeast out there, but not always available at my supermarket and you can't beat the price,1 pounds for $7.95 sure beats $8.99 for a 4 ounce jar at the supermarket"
"go raw chocolate granola","Sooo good! Soothes the sweet tooth, but unfortunately sometimes ignites it(I find myself reaching in for more than the serving size","Soothes the sweet tooth, but sometimes ignites it","Sooo good! Soothes the sweet tooth, but unfortunately sometimes ignites it(I find myself reaching in for more than the serving size). I don't feel too bad though because it is healthy and has over 300 mg of omega 3 and is a sprouted raw food. Because it is raw it's helpful to the digestive system as well. I am not a raw foodist but this is an easy way to play that part at least supplementally."
"Big Disappointment","Don't buy this if you're going to give it to your sister as a birthday present.","Great idea but not worth the money","My sister received this as a birthday present.  I could have put together a better basket by shopping in the candy section at Cracker Barrel.  Save yourself the cash and put together something yourself.  It will be much better quality.  Some of the candy was stale and some items were crushed.  Great idea but poorly put together."
"Poor idea of a mix.","Not a fan of this mix","Dissatisfied with this so called mix","Have not even used this so called mix yet and it may taste very good, most of the Kinnikinnick products do.  The reason for my dissatisfaction is the fact you must add 12 egg whites to what is suppose to be a mix.  Before my need to use gluten free products, I was able to buy angel food mixes that did not require adding eggs and of course expected this to be the same.  If you are going to use fresh egg whites, you may as well use your own rice flour as well.  I was looking for the more simple way baking a gluten free angel food cake.  Also not sure why the box says to (spray or grease) the pan, never have heard of doing this with an angel food.  Doubt this is going to end well!"
"At least try them","I have been eating these since I was a kid, growing up in a meat and potatoes house with a mother who was raised Seventh Day","High in protein and easy to make","I have been eating these since I was a kid, growing up in a meat and potatoes house with a mother who was raised Seventh Day Adventist.  They are high in protein and don't need anything fancy to prepare them.  We just heat them up in their own juices in a skillet, serve with mashed potatoes and corn.  My kid loves them.  Maybe they are an aquired taste but definately should be given a chance."
"Great Idea, but no match for a smarty","My mutt chewed the rope off the toy.","My mutt chewed the rope off the toy","I was so excited when I bought this toy, imagining the hours my dog would spend entertaining herself with this toy. Unfortunately my mutt took two seconds to size it up and decide that the best way to get the treats out was to chew the rope off, which she did promptly. She was right, and I could hardly be upset with her, but I was disappointed that such an expensive toy was so easily destroyed."
"Delicious, but messy.","It's a little pricey, but it's worth it for a baby who loves what's inside.","My one-year-old loves what's inside of this handy little pouch, but getting it into her mouth and not all over herself is impossible.","My one-year old absolutely LOVES what's inside of this handy little pouch, but getting it into her mouth and not all over herself is impossible. The title says ""6 months +"" but beware that a baby that old will not know how to operate the squeeze-and-suck skill to actually eat what's inside.<br /><br />The first time I opened it I ended up putting it into a bowl for her to spoon eat. Great for travel, but logistically difficult if you want to avoid a mess."
"Very Tasty, but no healthier in my opinion.","Great Pop-Tarts, but they're a bit pricey.","Delicious Pop-Tarts","First the good news, these are absolutely delicious.  They have a great natural flavor, not too sweet, enough filling to satisfy and a crust that's tasty as well.  Very good.  Two are pretty filling, too.<br /><br />But, they cost a bit more (not less) than regular Pop-Tarts (they are 6-count vs. 8-count per box)and their ingredients are just about identical nutritionally.  They may be ""organic"" (whatever that means), but they have just as much sugar, fat, calories, you name it.<br /><br />But, did I mention they are delicious?<br /><br />I'll still be buying my favorite Pop-Tarts, but these will be on my list as well."
"smooth, no bitter aftertaste","Senseo vanilla was my favorite until I tried this one. This has a stronger coffee flavor without being bitter. Now I use this one exclusively.","Senseo vanilla was my favorite until I tried this one. This has a stronger coffee flavor without being bitter.","Senseo vanilla was my favorite until I tried this one.  This has a stronger coffee flavor without being bitter. Now I use this one exclusively.  I would like a stronger taste of the creme brulee, but none of the flavored coffees have a really strong sense of the flavoring, no matter what they're called.  I do like the smell of the vanilla in the senseo, but the coffee is better in the Baronet."
"Don't Get Sucked In!","Don't buy this if you're craving watermelon candy.","Don't buy this if you're craving watermelon candy","I LOVE watermelon candy of every variety and type.  When I went on a quest to find the Twizzlers that had the watermelon filling, all I could find was this.  I figured that, since they already made a successful (albeit not successful enough) watermelon-flavored candy, they must have the flavoring down. Sadly, I was very mistaken. I strongly urge you NOT to buy this if you're craving watermelon candy! Someone in another review got it right, this product tastes strange.  I rated it at a 2 because it is barely edible. Whatever you are used to in watermelon candy flavors, this is not it at all.  Unfortunately, I subscribed to save on price and shipping and also to get a steady supply.  I've cancelled my subscription and I'm going to try and get rid of the other 5 bags that came in the shipment but I feel kinda bad for whomever gets them.  If the expiration lasts long enough, I might give them away at the Christmas gag party."
"The perfect training treat!","The Zuke's are the best I've found that are not incredibly expensive. The small size is perfect for obedience training with my dog and","Best Zuke's I've found","I looked long and hard for a good ""natural"" product with no grains or crap in it and the Zuke's were the best I've found that were not incredibly expensive. The small size is perfect for obedience training with my dog and none of the flavors I've found leave any mess in my pockets. Treats do not have to be large or impressive to be effective. The smaller the better, I say. My dog and I both really like these."
"it ain't Pernigotti... Not even close.","Not as good as Pernigotti Cocoa. Not as dark in powder form, not nearly as intense cocoa taste as a hot drink.","Not as good as Pernigotti Cocoa","Thought I would try this - its cheaper than my regular - Pernigotti Cocoa. I use this as a daily hot drink, sugar and milk to taste, topped with cinnamon and nutmeg.<br /><br />I would consider this product in the same class as Hershey or Trader Joe cocoa. Nothing wrong with it, but its not nearly as good as the Pernigotti. Not as dark in powder form, not nearly as intense cocoa taste as a hot drink.<br /><br />Its just ""ordinary"" cocoa powder, while the Italian stuff is really special, and worth the extra price. If I was baking with huge quantities I might feel differently, but in a hot drink this is the only thing you taste, and the difference is immediate.<br /><br />."
"Disappointing or Delicious?","The Tazo's Teas aren't as good as they used to be, but they're still good.","Not a five-star tea","As someone who has formerly raved about Tazo's Teas I can say that my first experience with this tea was less than satisfactory. Using two teabags with 12 ounces of water produced a flavorless tea that didn't even have the hint of cinnamon let alone the fragrance of apples. Realizing that the weakness of the tea was the reason for my dissatisfaction I tried brewing the tea by using four teabags and 12 ounces of water. This produced a very acceptable tea with a full-bodied taste and the delicious fragrance of freshly picked apples. The ingredients in this tea include: African Rooibos, cinnamon, natural flavors, apple and chamomile. While this tea is not a five-star tea it is at least slightly comforting in the winter and if you brew it for longer than you would normally brew tea then you might find it to be delicious instead of disappointing.<br /><br />~The Rebecca Review"
"Single best gluten free product period.","Try Pamela's Baking Mix.","Pamela's Baking Mix is delicious, versatile, and so good family members who can eat gluten prefer pancakes, waffles,","Pamela's Baking Mix is delicious, versatile, and so good family members who can eat gluten prefer pancakes, waffles, and cakes made with this mix. Try their recipe for sour cream coffee cake for a real treat, and go to their web site for many more recipes. Do not confuse this with their bread mix, which isn't as tasty or versatile."
"boring boring boring","I'm not a fan of Chinese fortune cookies, but I've tried these mini-bites. They're self-help mini-","These are not fortune cookies, they are self-help mini-bite bites.","Reading in earlier reviews that these were genuine chinese fortunes, I served them with a chinese Christmas dinner and was greatly disappointed, as were my guests.  Three sample fortunes are:  ""Life is not a struggle.  It's a wiggle.""  ""Management is doing things right: leadership is doing the right things.""  ""If you're feeling down, try throwing yourself into your work.""  These are not fortunes, they are self-help mini-bites.  A fortune is:  ""Your love of travel will soon be satisfied,"" and it doesn't matter if they are predictive or not.  What matters is that they state a fortune.  ""Beware the dog in the corner house,"" would be fun to get.  ""Life is a wiggle"" is boring.<br />The cookies arrived on schedule, as promised, and in good condition in their individual wrappers.  All of that was as I'd hoped.  But content counts, in fortune cookies especially."
"love these","I'm a bit compulsive about keeping her teeth clean. She normally gets a Greenie a day along with an additive","My Golden Retriever loves these!","I get a lot of stuff from the Amazon Vine program but this is the first item that I liked so much that I added a subscription to my account for them. Freakin' LOVE these things. My golden retriever is 3 years old. She sees the vet every six months (ongoing medical issue) and each time the vet checks her teeth. She has never had to have a vet cleaning because I'm a bit compulsive about keeping her teeth clean. She normally gets a Greenie a day along with an additive in her water and regular teeth brushing. Yet there always seems to be a bit of tarter build up on her back teeth that I end up scrapping off with a scaler. After chomping down just two of these, that tartar was completely gone. The nice part is that they are much harder for her to chew than the Greenies. Even though I gave her size medium, it still took her several minutes to chew it up. (Greenies are gone within a matter of seconds) And she LOVES them. I'm pretty sure she would save a baby from a blazing inferno if she thought that is what it would take to get one. When she sees me going for the bag, she starts in with doing all the tricks she can think of. Hilarious to watch. They smell...interesting. Like mint and beef jerky? I can't put my finger on the smell exactly. It's not bad or anything. I am now getting a bag of mediums sent each month and will make it a part of her weekly dental hygiene. Very glad to have found these!"
"Break Easily","The first ball worked pretty well, it just looked beaten up. The tea itself is pretty good and fairly tolerant of being steeped for ","The first ball worked pretty well, but the tea itself is pretty good and fairly tolerant of being steeped for a long time","The first ball worked pretty well, it just looked a little beaten up.  Since then, ~half of these have fallen to pieces in hot water (all of them do after sitting for a bit).  If you don't mind the rate of failure, the tea itself is pretty good and fairly tolerant of being steeped for a long time (especially considering that it is white tea)."
"Where are the cherries? (plus, it isn't real granola)","I bought this ""granola"" because it looked good on the box with the dried cherries in it. But when I poured out my first bowl","Not a granola at all","Bought this ""granola"" because it looked good on the box with the dried cherries in it.  It turns out it is ""granola"" in only the loosest sense because it has just a bit of real granola (ie; rolled oats) mixed in with a whole bunch of rice crisps.  Cheap.<br /><br />The worst part though was the complete lack of cherries.  The photo on the box shows dried cherries interspersed in the spoonful of cereal depicted.  But when I poured out my first bowl of cereal no cherries whatsoever were visible.  I wondered if maybe they had all settled to the bottom, so I took the bag out of the box to look... no cherries at the bottom either.  I poured the entire contents into a mixing bowl and eventually found a single chunk, about 1/8 the size of a pea, that might have been a tiny chip off of a cherry at one point.  That was it.  Putting ""cherries"" in the name of this cereal is thus a total lie.  It should read ""there might be a remote chance that you'll find a tiny chunk off of just one cherry in this cereal"".  What a ripoff."
"No prob with french press, very tasty!!","I'm a big fan of LaPrima Shops!","Great coffee!","I bought it after the great reviews. Instead of buying the bialetti for the stovetop, I used my bodum french press despite of it being too fine ground. 2 Cups of hot microwaved water (getto style haha) with 1.5 scoop of coffee is perfect for me. Despite of it being very bold with the crema on top, I'm surprised that it doesn't taste bitter and sour at all! I added a bit of french vanilla, VERY TASTY! Get the individual brick if you're still not sure (sold by LaPrima Shops for $7.49)<br /><br />Try it, you'll love it!"
"High Quality & Great Price!!","I'm overwhelmed by the price for a small jar at the grocery store. I bought this .62 oz bottle online and saved","Bay leaves add a subtle flavor nuance","So many soup and stew recipes I use call for bay leaves--they add such a subtle taste nuance. But I'm overwhelmed by the price for a small jar at the grocery store. I bought this .62 oz bottle online and saved a bundle without sacrificing quality. Thanx, Amazon and McCormick's!"
"Not really gummy or fruity","Very very disappointed. Will be giving 11 bags away and not ordering any Haribo again.","Very Very Disappointing","These are coated in sugar which make them less gummy and kind of dry. They are very firm and chewy more than gummy. They have a lot of citric acid which makes them tart but there is no discernible fruit flavor in any of them. If you ate each kind with your eyes closed, you would not be able to tell one ""fruit"" from the other. Very very disappointed. Will be giving 11 bags away and not ordering any Haribo again."
"Post-work out perfection.","I'm a huge fan of Orgain. It's a great way to lose weight.","Great Weight Loss Drink!","Initially I used Orgain for weigh loss replacing 2 meals a day with it and I lost about 25 pounds over the course of 5 months.  Now I'm using Orgain as a post workout drink and I've never felt better.<br /><br />I owe my health to this drink and recommend it to all of my friends and family.  Used to drink slim fast and will never get near it again after how delicious this is, both chocolate and vanilla!"
"APPEALS TO MY ONE PICKY EATER WHEN ALL ELSE FAILS!","This is the best dog food I have ever had!","Best dog food I have ever tried!","I have 10 toy poodles.  One deals with terrible allergies.  I buy other very good canned dog foods to mix with their dry food but he would just barely touch it.  In trying to build up his resistance and get him to gain weight I have been trying different canned dog foods,  (along with other things) all which are very high grade.  This one finally did it!  My other dogs just love Happy Hips, which is an excellent quality dog food and very similar, of late, but not him.  He goes crazy over this food and the added perk, it is good for him.  It smells like human quality food, I think.  I shall continue buying it. I wish it were a little less expensive but compared to some others in this quality range it at 20.95... it is less expensive!  I am also now using the Avoderm dry kibble now (see my review on that) which is just the most perfect dog food for all my little ones.  I am very happy with the quality of dog food this company makes.  So glad I found it."
"Worked well as gift","Great product!","Great gift for my brother!","I got these as a holiday gift for my brother. He has hunted all his life, basically, and knows his venison. He approved and said these are really good! He actually LIKED what I sent him for a change! Whew! An aspect we both really liked is that they are a low-fat, high-protein gift, which he can enjoy over the holidays without worrying so much about blowing his healthy diet. Great product! The ""individually wrapped"" part was appreciated by him, too. That way they stay fresh."
"Fresh lemon all year long","Squeeze a squirt of lemon juice.","Squirt it in soda, tea, and cake icings.","This organic squeeze contains fragrant oil from the lemon peel, and, in my opinion, that is what gives it the fresh zing that is pasturized out of most bottled lemon juices. This one tastes more real than any bottled or squeezed lemon product, it is very close to fresh wedges. I squeeze it in soda, tea, on rice and veggies, even in cake icings. Rim cocktail glasses or just squirt a little in your water bottle. I like putting a pitcher of water out on the dinner table with a slice of lemon in it, but while it looks lovely, the peel can give the water a bitter taste after a few hours. A squirt of this does the trick without any bitterness! Pop in the fridge after breaking the seal."
"Spicy and flavorful","I would purchase this product again. I had not seen this product in the grocery store before, so I decided to give it a try and was glad","Best Cheetos Flamin' Hot","This was my first time trying Cheetos Flamin' Hot because I normally purchase the regular Cheetos flavor and I when I tried this flavor, I enjoyed the robust spicy flavor alot.  I would purchase this product again.  I had not seen this product in the grocery store before, so I decided to give it a try and was glad I did."
"Great Chew Toy!","Great ring for a 115 pound German Shepherd.","Great ring for a 115 pound German Shepherd","I have a 115 pound German Shepherd and obviously he has very strong jaws.  Chew toys typically do not last long in my house. He loves this ring and it has lasted for about a month now.  Of course it is only about a fourth of the size now but that should certainly be expected with such a large dog.  I am thrilled with the durability and just ordered another one today."
"Wonderful Tea","I am an avid tea drinker and have been making it more and more of a daily ritual. The Triple Leaf Ginger Tea has become my new favorite","Triple Leaf Ginger Tea","I am an avid tea drinker and have been making it more and more of a daily ritual. The Triple Leaf Ginger Tea has become my new favorite. It brews nicely and can be weak or strong, depending on how many bags you use, I prefer it strong. It is noted to helop with digestion, and I have to say, I ahven't had any problems in the few months that I have been drinking it. I would highly recommend not only the Ginger tea, but all of the many varieties of Triple Leaf Tea."
"Best food for small breed dogs!","Sophie loves Fromm food and we do too! After trying many foods with no luck we came across Fromm and knew it was Sophie's new food","Our Silver Dapple Miniature Dachshund Sophie loves this food and we do too!","Our Silver Dapple Miniature Dachshund Sophie loves this food and we do too! After trying many foods with no luck we came across Fromm and knew it was Sophie's new food from day one. This food had done great at keeping her weight in check and her coat soft and shiny. She has to eat less and poops very little due to there not being any fillers in Fromm foods. We tell every person we meet about this food, all of our friends have changed their dog to Fromm and love it for their pups too. Thank you Fromm for making such a great food for our Miss Sophie!"
"Yum. Tasty, Portable and No Calories to boot!","MIO Sweet Tea is a nice alternative to going without sweet tea until the next time you end up South of the Mason-Dixon line.","Sweet tea is a great alternative to the Mason-Dixon line.","If you like sweet tea, as I do, but you either (a)don't like calories or (b)live far, far away from the parts of the country where sweet tea is a given in any restaurant or at home, then this is a very nice alternative to going without until the next time you end up South of the Mason-Dixon line.<br /><br />MIO Sweet Tea comes in a cute little plastic teardrop container, which holds at least 20 glasses' worth of tea concentrate. (More glasses of tea for me, and fewer for my Beloved Husband, who generally likes his tea double strength) The plastic container is fairly liquid-tight, and doesn't leak when I carry it in my purse.  However, a single bottle that was mailed to me leaked a couple of drops in the envelope.<br /><br />This sweet tea is quite tasty, in my opinion.  However, I come from New England, and never even tasted sweet tea until I was in my thirties.  Those who were raised on sweet tea, had it in their baby bottles, and expect delicious and perfectly prepared sweet tea might not find it as palatable as I do. (I felt compelled to add that disclaimer, because I went to restaurants with Southern friends who told me that the sweet tea in a particular establishment was terrible when I found it quite tasty)<br /><br />Enjoy!"
"If It Ain't Broke, Don't Fix It","I bought these last year, thinking I was buying what I had always bought. When I tasted them I thought maybe these are some new, extra kind","Don't buy these again!","I don't know why companies always mess with a good thing. At least Coke learned their lesson. I bought these last year, thinking I was buying what I had always bought.  When I tasted them I thought maybe these are some new, extra kind, and I just picked up the wrong box...nope. They changed them all. Without even asking their customers. The flavor is fruity in a very bad way, the satisfying slighty crunchy texture is gone. I can see in the stores this year that they are still the same as last year.  A few unsuspecting people pick them up and put them in their carts...but not many.  These are definitely not flying off the shelves.  After Valentine's Day there will be tons of them left, they won't be able to give them away. So goodbye until you go back to the old Conversation Hearts!"
"Not as shown in the picture...","I don't like the type of water I get.","Dissapointed","Since the picture shows six different type of bottled water, I thought I would get all of those kinds in each shipment (I signed up for subscribe & save). However, I only got 24 bottles of one kind, not six different kinds... Very dissapointed, especially that the kind I received was the one that I don't like the most. I canceled the subscribe & save order for this product."
"I am buying this one!","I love the idea that it has the vitamin E and Shea butter in it and infuse the hair with moisturizer and clean the skill as it","Best shampoo I have used in years","Clear scalp is the best shampoo I have used in years. I love the idea that it has the vitamin E and Shea butter in it and  infuse the hair with moisturizer and clean the the skill as it moisturizes and clean the hair at the end of the day. This product is good, I like I'm going to buy some more of this product and keep it on  my self as I run out. The price is just right."
"Sweet & Spicy: Natural & Artificial Flavor","I have been enjoying Good Earth Original Sweet & Spicy tea but the last box had a different flavor, which I don't like. I","Good Earth Original Sweet & Spicy (natural flavor) tea","For years I have been enjoying Good Earth Original Sweet & Spicy (natural flavor) tea but the last box had a different flavor, which I don't like. I wasn't aware that it was actually a different formula that has artificial flavor added. The two packages are almost identical in appearance. You have to read the fine print on the lower portion of the front of the package just below where it says ""Herbal Tea Blend"". One will say Natural and the other (as shown by Amazon here) will say Natural and Artificial Flavor.<br /><br />In talking with a representative at Good Earth, I have been informed that they still make Sweet & Spicy without the artificial flavor. I expressed my concern as to their lack of clear differentiation on packaging. Buyer beware!<br /><br />Update: I have since purchased some of the Natural (no artificial flavor) and found that it too was quite different than I had been used to. Not only was the flavor different but it was very weak compared to the old stuff, which I could easily get two cups out of. The new stuff tasted like it had already been used for two cups before it got to mine."
"The perfect treat!","Great for a quick snack or a snack for the whole family.","Perfect for a snack with crunch and saltiness","These things are unbelievably good and satisfy so many cravings all at once.<br /><br />First - they are crunchy, so if you have a need for a snack with crunch, this is perfect.<br /><br />Second - the are both sweet AND a little bit salty.  Just enough salt to add a slight tang to the flavor.<br /><br />The texture is great, and the 2-ounce bag is the perfect size ... for yourself.  You won't want to share."
"Love it or Hate it","This is a love it or hate it soup. I happen to love this soup... and was lucky enough to get a bunch of it a","Love it or Hate it soup","It seems by all of the 1 star reviews, this is a Love it or Hate it soup.  I happen to love this soup... and was lucky enough to get a bunch of it a few years ago for $2/can during some kind of sale they had online.<br /><br />This is my favorite Amy's soup, and many other people love it too...<br /><br />The only real way to know is try some for yourself, don;t let other people talk you out of trying it, because you might really like it.  It is supposed to be a thin soup, and every can has a single bay leaf in it (nice touch)."
"Australia's healthiest export","Vegemite is a low-calorie, low-fat spread that has a unique flavour.","Vegemite is a low-calorie, healthy product that you won't be able to stop talking about.","Vegemite <a href=""http://www.amazon.com/gp/product/B002O10K6C"">Vegemite 400g Jar</a>is practically unknown in North America, but I'll bet there is no one is Australia of an ethnicity who has never heard of Vegemite, and of those who have, almost everyone will have some at home. Every restaurant and side of the road eatery carries it. It comes in tubes, jars, and little packets like jams and butter substitutes do in the US. It is Vegemite, the concentrated yeast extract spread that goes on most slices of bread or toast Down Under. Dark brown to be almost black, it has a strong taste, so if you're a novice, spread it thin. Americans who try Vegemite fall into two categories: those who hate it or love it immediately. Don't take my word for it, check it out online: there is no better sourse for B vitamins than Vegemite. If your are used to nothing other than peanut butter and jam on your bread and toast, you are ready for a change, a change for a low-calorie healthy product that you won't be able to stop talking about. It's flavour is unique; it's closest cousin is the British and New Zealand Marmite, though similar, is not the same. Ordering it in the US is more expensive than getting it Oz, but it is a sacrifce that I am happy  to make just to have it on the table."
"Comfort Food","My family loves Kraft Speghetti!","My family loves Kraft Speghetti again!","My family thought we'd never have Kraft Speghetti again until my sister had to travel to Columbus, OH and found it in a store!  She brought home several boxes and we were all hooked again.  Then I found it on Amazon by the case and we all share a shipment including sending some to my other sister in Charlotte, NC.  I will never understand why they don't bring it back in stores..."
"Awesome Product!","This is a great latte!","Awesome latte!","I had Gastric bypass a little over a year ago and ever since have been having a really hard time finding a protein drink that agreed with me. Either they tasted completely awful or they made me sick to my stomach. After reading the reviews on Amazon for Click, I ordered the Click Vanilla Latte flavor and crossed by fingers that it would live up to the good reviews. I am here today to say this drink is awesome! There is no heavy protein flavor and it doesn't make me feel sick after drinking it. I would recommend this product to everyone who loves the flavor of a good latte!"
"Fine Chai","I have sampled many bulk Chai teas and this is the BEST one ever. It is very authentic and hits a lot of flavor notes.","Best tea ever!","I have sampled many bulk Chai teas and I have to say this is the BEST one ever.  It is very authentic and hits a lot of flavor notes.  Perfectly balanced spices with a hint of heat from black pepper.  Keep in mind it is a process to brew, so give yourself about 10+ minutes from start to finish.  Use 1 3/4 teaspoons per serving and sweeten with honey to enhance the flavors."
"A great cuppa!","I'm a big fan of Typhoo teabags!","Love it!","First discovered Typhoo teabags in an English shop on the West Coast of FL. Have since seen them in my local grocery in Eastern NC. I'll never go back to American teabags! This is a strong, dark tea & I absolutely love it! I drink mine w/ an artificial sweetener, no milk. Heavenly! Now for a good book..."
"Very good seeds, but beware if you have milk allergies","Buy sunflower seeds if you are lactose intolerant or allergic to milk.","Delicious sunflower seeds, but a little too strong for my taste.","Let it be said that these are really delicious sunflower seeds.  The flavor is very strong and the seeds are quite large.  But there are three things to consider when buying these:<br /><br />1.  Milk is listed as one of the ingredients.  If you are lactose intolerant or allergic to milk products, you should stay away from these.  I'm not sure why milk is an ingredient in pickle-flavored sunflower seeds, but so be it.<br /><br />2.  A conspicuous amount of non-seed material often makes it into each bag.  These include stems and other parts of sunflower plants.  So even though you might think you are putting a handful of seeds in your mouth, sometimes you will find yourself spitting out foreign (plant) objects.<br /><br />3.  Sometimes the seeds get stuck together in clumps of four or five because of how much coating there is on each seed.<br /><br />Having said all this, these sunflower seeds are very tasty.  But they will also make your tongue raw because of all the seasoning."
"Love it","I'm not sure about the weight loss aspect of this stuff, I have lost weight but I have no idea if it has anything to do with","Love it!","I'm not sure about the weight loss aspect of this, I have lost weight but I have no idea if it has anything to do with this stuff, either way that's not why I bought it. I bought this for the supposed antioxidants and I've continued to use it because I love the taste and I suspect it's also been giving me an energy boost... another aspect which I can only guess on but can't really quallify. I mostly use this in smoothies, but it's also really good just mixed in greek yogurt and I've added it to iced tea several times. The packaging for all Navitas Naturals products is easilly ripped, especially at the top where it seals, this is something that bothers me but since I love their products I've just decided to overlook that and invest in some bag clips."
"Bob's Mills is tops in the industry!","I use flaxseed in all sorts of recipes. It's a good substitute for butter or margarine in a recipe.","Flaxseed is a good substitute for butter or margarine in a recipe","Flaxseed is healthy, good tasting and a good substitute for butter or margarine in a recipe. I use it in cereal, smoothies, a glass of water, veggie dishes and any recipe I wish to 'edit-out' butter, magarine or oil. (Use 3 parts flaxseed to 1 part 'other'). As far as Bob's Mills? I order other products, which arrive intact and are of gr8 quality (buckwheat flour, apple spice muffin mix, 10 grain hot cereal mix and herbs'n'spices. They also make an awesome bag clip to keep their product fresh (I cheat and use it on non-Bob's products!). I should have ordered at least 5 more bag clips. Oh well, I'm sure there will be a next time! Happy Harping!"
"The best anywhere","Love them!","Best olives I've ever had","These olives were introduced to me by a food freak; nothing but the best for his family.  When I tried one, I immediately went online to try to find them.  Fortunately, Amazon handled them.  I knew they were coming in large cans so I had 3 one pint caning jars on hand; just scoop out the olives into the jars and keep in refrigerator until you need the next can.  These olives are a different universe from premium stuffed olives in supermarkets.  You will never know what a really superb Martini is without them."
"Wasa makes great crispbread","We have tried several of the Wasa crispbreads and they are all great in our opinion. They have those rice things beat hands down. However I","Great Crispbreads","We have tried several of the Wasa crispbreads and they are all great in our opinion.  They have those rice things beat hands down.  However I do realize they are not for everyone.  But they are nutritious and have no man made harmful ingredients.  So if you are looking for a nutritious snack that won't add pounds on your body I would recommend Wasa crispbreads."
"Great for Normal Hair, Soothing to the Scalp","It's a shampoo/conditioner that is going to be good for someone who doesn't want their shampoo to dry out their hair and scalp","It's a good shampoo but not a stinky one","I had the two men in my life try this one: my son (10) and my husband.<br /><br />My son doesn't have a dandruff problem, but both he and my husband, who occasionally has some flakes, were both suffering from itchy scalps due to all the swimming they've been doing.<br /><br />My son really liked the shampoo.  (He used it by himself, and I washed his hair a few times myself to see what it was like.)  It made good suds and he really liked the smell which he thought was 'manly but not stinky'. (I had no idea he even noticed these sorts of things. But he did say that it made him smell nice like his Uncle Marker). I liked that it suds well and washed out cleanly without a lot of whining.<br /><br />My husband commented that it 'soothed' his itchy scalp.  And neither of us us have seen any flakes.  HOWEVER, he also commented that he didn't  think it cleaned to his complete satisfaction: at least not for Summer.  After a particularly grueling day of sitting on a lounge chair watching me mow and then weed the garden, he said he had to wash through twice to get to the point where his hair felt super clean.  This is more or less the same comment he's been making about every other shampoo that he's tried lately:  Pantene, Aussie, and Suave.<br /><br />So FIVE STARS.  This is a shampoo/conditioner that is going to be good for someone who doesn't want their shampoo to dry out their hair and scalp.  It also smells night without being overly perfume-y.  It appears to be soothing to the scalp, but you might find you need to use more shampoo if you have excessively greasy hair.<br /><br />Pam T~"
